snapped_at,price,market_cap,total_volume
2024-07-16 00:00:00 UTC,163.48005438231402,0.0,9179562.611155763
2024-07-17 00:00:00 UTC,164.72151161707913,0.0,43514079.497953616
2024-07-18 00:00:00 UTC,159.16158885117585,0.0,25046266.308836058
2024-07-19 00:00:00 UTC,162.92041653891363,0.0,15578700.30346373
2024-07-20 00:00:00 UTC,173.06711962483712,0.0,13670370.125487989
2024-07-21 00:00:00 UTC,178.24092525024804,0.0,18316555.58063837
2024-07-22 00:00:00 UTC,188.5699702627894,0.0,17069887.60546318
2024-07-23 00:00:00 UTC,183.50671938518147,0.0,18484202.227114856
2024-07-24 00:00:00 UTC,176.8743276784824,0.0,11964687.285795446
2024-07-25 00:00:00 UTC,181.94166950941167,0.0,20379301.373395015
2024-07-26 00:00:00 UTC,176.1044891852586,0.0,9825957.969576154
2024-07-27 00:00:00 UTC,187.65799219223936,0.0,14731519.977373367
2024-07-28 00:00:00 UTC,189.55536239914608,0.0,12643262.488494543
2024-07-29 00:00:00 UTC,189.30709541114962,0.0,11162362.711605705
2024-07-30 00:00:00 UTC,187.5591068120732,0.0,15698666.389389161
2024-07-31 00:00:00 UTC,183.85665374051337,0.0,14444100.611332864
2024-08-01 00:00:00 UTC,176.6322240505067,0.0,7616482.069520241
2024-08-02 00:00:00 UTC,172.16920748515054,0.0,24012055.163362075
2024-08-03 00:00:00 UTC,156.5082401056774,0.0,20719918.761670727
2024-08-04 00:00:00 UTC,147.02850957670648,0.0,9368418.517257333
2024-08-05 00:00:00 UTC,141.22065693838465,0.0,9417484.997531023
2024-08-06 00:00:00 UTC,133.65119979741814,0.0,60215787.61239575
2024-08-07 00:00:00 UTC,147.7702075996498,0.0,23109998.542486444
2024-08-08 00:00:00 UTC,149.5163846154842,0.0,18472490.91603306
2024-08-09 00:00:00 UTC,167.35051792012075,0.0,14124094.105306158
2024-08-10 00:00:00 UTC,160.64794738092507,0.0,11237490.736116925
2024-08-11 00:00:00 UTC,158.35824573187318,0.0,7221796.042640255
2024-08-12 00:00:00 UTC,145.58313618332332,0.0,10211831.744184991
2024-08-13 00:00:00 UTC,151.10984438381485,0.0,13571054.001627533
2024-08-14 00:00:00 UTC,151.27768566933116,0.0,13453233.374261687
2024-08-15 00:00:00 UTC,148.25274231087946,0.0,10759818.978460548
2024-08-16 00:00:00 UTC,147.1391425311006,0.0,8590885.665162308
2024-08-17 00:00:00 UTC,143.38877056208608,0.0,10942188.633514734
2024-08-18 00:00:00 UTC,145.81941708048788,0.0,4926867.428888572
2024-08-19 00:00:00 UTC,146.6266953293683,0.0,6289189.992371815
2024-08-20 00:00:00 UTC,148.87117383530588,0.0,9816606.084204096
2024-08-21 00:00:00 UTC,146.96954754162508,0.0,11173992.444921548
2024-08-22 00:00:00 UTC,147.11549878761934,0.0,9531581.309998043
2024-08-23 00:00:00 UTC,147.8166024812936,0.0,4679451.6033337815
2024-08-24 00:00:00 UTC,157.991110828846,0.0,9699047.599404775
2024-08-25 00:00:00 UTC,165.6276681018722,0.0,11006824.279880783
2024-08-26 00:00:00 UTC,163.91673198395213,0.0,10655743.47631958
2024-08-27 00:00:00 UTC,162.41159282406664,0.0,19960413.37465408
2024-08-28 00:00:00 UTC,152.14044315918096,0.0,10877389.588062068
2024-08-29 00:00:00 UTC,149.02887667127868,0.0,7164188.795576333
2024-08-30 00:00:00 UTC,144.56233406045703,0.0,10956466.80325697
2024-08-31 00:00:00 UTC,142.8899346055479,0.0,5239744.078291141
2024-09-01 00:00:00 UTC,139.82129339888442,0.0,5734893.229312588
2024-09-02 00:00:00 UTC,133.52379061707663,0.0,8376267.303459398
2024-09-03 00:00:00 UTC,139.52177648092555,0.0,6935899.215409977
2024-09-04 00:00:00 UTC,132.3907324712598,0.0,20258335.59698039
2024-09-05 00:00:00 UTC,138.18524894251462,0.0,9687741.867557261
2024-09-06 00:00:00 UTC,133.66223432364262,0.0,9857160.038089367
2024-09-07 00:00:00 UTC,129.25240410311008,0.0,12554764.130452577
2024-09-08 00:00:00 UTC,132.11772948020152,0.0,3903973.574422903
2024-09-09 00:00:00 UTC,134.66137146127053,0.0,6352810.583379195
2024-09-10 00:00:00 UTC,139.9089936316121,0.0,8426884.267622193
2024-09-11 00:00:00 UTC,140.5821959460692,0.0,8491389.32877874
2024-09-12 00:00:00 UTC,137.6585649560624,0.0,7195613.689108003
2024-09-13 00:00:00 UTC,141.28029712004258,0.0,6917761.979635976
2024-09-14 00:00:00 UTC,144.08537217594528,407673807.4765493,13074305.056732586
2024-09-15 00:00:00 UTC,142.36728366085475,431329458.79950434,6745365.805016561
2024-09-16 00:00:00 UTC,136.43855835804393,413401081.71970725,5214882.566800503
2024-09-17 00:00:00 UTC,136.64598786920402,414851972.2796892,5086693.236008709
2024-09-18 00:00:00 UTC,136.54432011523352,414281532.51405317,5687926.880210025
2024-09-19 00:00:00 UTC,138.36759872296696,418817307.854943,7866988.409807958
2024-09-20 00:00:00 UTC,148.11677042312843,448980790.3345054,10456359.794278856
2024-09-21 00:00:00 UTC,152.25201082268634,466944861.66971534,13992459.63902776
2024-09-22 00:00:00 UTC,155.44601683501082,477286811.9774329,7619576.509896396
2024-09-23 00:00:00 UTC,150.34621035937647,461658675.80955714,3545245.8514228435
2024-09-24 00:00:00 UTC,150.3896982023589,462327373.521813,9108061.168770216
2024-09-25 00:00:00 UTC,159.1736731821694,488652164.0452169,6219119.753916126
2024-09-26 00:00:00 UTC,153.49680103147338,471275197.96672446,9783154.94669849
2024-09-27 00:00:00 UTC,161.77840926758185,500775018.73716986,11066950.428503726
2024-09-28 00:00:00 UTC,164.25023420004953,508231955.5239718,7315315.903120263
2024-09-29 00:00:00 UTC,162.99800488695203,504808364.8051683,8354652.2996691065
2024-09-30 00:00:00 UTC,165.00741565281248,510698957.0491474,10207489.466945276
2024-10-01 00:00:00 UTC,158.58486351197405,492242133.7526407,3559576.074322659
2024-10-02 00:00:00 UTC,151.09928911558333,468783502.2579041,7915614.668694453
2024-10-03 00:00:00 UTC,146.12618765325047,453878330.6525403,9445123.027726755
2024-10-04 00:00:00 UTC,142.47213321991913,447350340.6133078,15239933.433978435
2024-10-05 00:00:00 UTC,149.1598705452664,471792424.7312803,4727285.486188597
2024-10-06 00:00:00 UTC,148.86719736357867,472057384.63119775,5001637.324902607
2024-10-07 00:00:00 UTC,152.6769224176282,493316676.6737642,5722339.444607628
